pos_embedding,num_heads,num_layers,patch_size,accuracy
Fixed,4,3,4,50.0
Fixed,4,3,8,44.6927374301676
Fixed,4,3,16,43.01675977653631
Fixed,4,4,4,47.3463687150838
Fixed,4,4,8,43.29608938547486
Fixed,4,4,16,44.6927374301676
Fixed,4,5,4,47.20670391061452
Fixed,4,5,8,47.486033519553075
Fixed,4,5,16,42.597765363128495
Fixed,4,6,4,45.53072625698324
Fixed,4,6,8,45.81005586592179
Fixed,4,6,16,43.71508379888268
Learnable,4,3,4,38.8268156424581
Learnable,4,3,8,44.41340782122905
Learnable,4,3,16,41.899441340782126
Learnable,4,4,4,33.798882681564244
Learnable,4,4,8,41.201117318435756
Learnable,4,4,16,37.70949720670391
Learnable,4,5,4,38.26815642458101
Learnable,4,5,8,40.36312849162011
Learnable,4,5,16,42.31843575418994
Learnable,4,6,4,38.687150837988824
Learnable,4,6,8,41.201117318435756
Learnable,4,6,16,45.94972067039106
None,4,3,4,48.74301675977654
None,4,3,8,40.36312849162011
None,4,3,16,40.502793296089386
None,4,4,4,45.94972067039106
None,4,4,8,47.625698324022345
None,4,4,16,41.4804469273743
None,4,5,4,45.81005586592179
None,4,5,8,44.832402234636874
None,4,5,16,41.4804469273743
None,4,6,4,45.94972067039106
None,4,6,8,42.597765363128495
None,4,6,16,41.4804469273743
